struct zh_weight { char name[2], double freq };
%%
的,0.0341277
一,0.0112731
國,0.0106651
在,0.0082045
人,0.0080773
了,0.0079237
有,0.0077624
中,0.0076843
是,0.0076122
年,0.0071346
和,0.0067636
大,0.0066078
業,0.0065423
不,0.0063303
為,0.0054216
發,0.0053412
會,0.0051579
工,0.0050114
經,0.0049223
上,0.0048331
地,0.0047688
市,0.0046659
要,0.0045003
個,0.0043881
產,0.0043545
這,0.0043446
出,0.0042527
行,0.0041784
作,0.0040521
生,0.0039844
家,0.0039648
以,0.0038364
成,0.0037219
到,0.0036926
日,0.0036327
民,0.0035945
來,0.0034731
我,0.0034646
部,0.0033026
對,0.0032427
進,0.0032419
多,0.0032382
全,0.0032345
建,0.0032052
他,0.0031435
公,0.0031331
開,0.0031058
們,0.0030767
場,0.0030636
展,0.0030534
時,0.0030057
理,0.0029849
新,0.002897
方,0.002853
主,0.0027957
企,0.0027556
資,0.0027448
實,0.002744
學,0.0027139
報,0.0027135
制,0.0026895
政,0.002679
濟,0.0026701
用,0.002668
同,0.0026107
于,0.0026086
法,0.0025935
高,0.0025748
長,0.0025652
現,0.0025147
本,0.0024993
月,0.0024389
定,0.0024269
化,0.0023838
加,0.0023829
動,0.0023694
合,0.0023691
品,0.0023513
重,0.0023459
關,0.0023261
機,0.0023189
分,0.002317
力,0.0022943
自,0.0022824
外,0.0022498
者,0.0022472
區,0.0022413
能,0.0022237
設,0.0022181
後,0.0021836
就,0.0021619
等,0.0021605
體,0.0021551
下,0.0021357
萬,0.0020929
元,0.002067
社,0.0020607
過,0.0020606
前,0.0020531
面,0.0020167
農,0.001983
也,0.001974
得,0.0019729
與,0.0019506
說,0.0019478
之,0.001919
員,0.0018995
而,0.0018881
務,0.0018869
利,0.0018856
電,0.001873
文,0.0018717
事,0.0018604
可,0.0018478
種,0.0018411
總,0.0018397
改,0.0018059
三,0.0017945
各,0.001779
好,0.0017451
金,0.001743
第,0.0017413
司,0.0017401
其,0.0017313
從,0.001703
平,0.0016647
代,0.0016641
當,0.001657
天,0.0016483
水,0.0016446
省,0.0016366
提,0.0016334
商,0.0016298
十,0.0016297
管,0.001622
內,0.0016149
小,0.0016135
技,0.0016091
位,0.0016007
目,0.0015919
起,0.0015911
海,0.0015815
所,0.0015791
立,0.0015778
已,0.0015716
通,0.0015692
入,0.0015621
量,0.0015425
子,0.0015414
問,0.0015404
度,0.0015281
北,0.0015279
保,0.0014976
心,0.0014967
還,0.0014906
科,0.0014751
委,0.001456
都,0.0014503
術,0.0014501
使,0.001449
明,0.0014369
著,0.0014365
次,0.0014362
將,0.0014281
增,0.0014225
基,0.0014197
名,0.0014078
向,0.0014073
門,0.0014059
應,0.0014049
裡,0.0014032
美,0.0013899
由,0.0013801
規,0.0013724
今,0.0013712
題,0.0013688
記,0.0013592
點,0.0013538
計,0.00135
去,0.0013444
強,0.0013442
兩,0.0013376
些,0.0013308
表,0.0013294
系,0.0013262
辦,0.0013224
教,0.0013183
正,0.0013077
條,0.0012831
最,0.0012694
達,0.0012618
特,0.0012592
