Count;;;N NI;;;Number of objects available in this stream
StreamCount;;;N NI;;;Number of streams of this kind available
StreamKind;Audio;;N NI;;;Stream type name
StreamKind/String;;;N NI;;;Stream type name
StreamKindID;;;N NI;;;Number of the stream (base=0)
StreamKindPos;;;N NI;;;When multiple streams, number of the stream (base=1)
Inform;;;N NT;;;Last **Inform** call
ID;;;N YI;;;The ID of this stream in this file
ID/String;;;Y NT;;;The ID of this stream in this file
UniqueID;;;N YI;;;A unique ID for this stream, should be copied with stream copy
MenuID;;;N YI;;;The menu ID for this stream in this file
MenuID/String;;;Y NT;;;The menu ID for this stream in this file
Format;;;Y YT;;;Format used
Format/Info;;;Y NT;;;Info about the format
Format/Url;;;N NT;;;Homepage of this format
Format_Version;;;Y NT;;;Version of this format
Format_Profile;;;Y NT;;;Profile of this Format
Format_Settings;;;N NT;;;Settings needed for decoder used, summary
Format_Settings_SBR;;Yes;N YT;;;
Format_Settings_SBR/String;;;Y NT;;;
Format_Settings_PS;;Yes;N YT;;;
Format_Settings_PS/String;;;Y NT;;;
Format_Settings_Mode;;;Y YT;;;
Format_Settings_Floor;;;Y YT;;;
Format_Settings_Firm;;;Y YT;;;
Format_Settings_Endianness;;;Y YT;;;
Format_Settings_Sign;;;Y YT;;;
Format_Settings_Law;;;Y YT;;;
Format_Settings_ITU;;;Y YT;;;
MuxingMode;;;Y NT;;;How this stream is muxed in the container
MuxingMode_MoreInfo;;;Y NT;;;More info (text) about the muxing mode
CodecID;;;Y YT;;;Codec ID (found in some containers)
CodecID/Info;;;Y NT;;;Info about codec ID
CodecID/Hint;;;Y NT;;;Hint/popular name for this codec ID
CodecID/Url;;;N NT;;;Homepage for more details about this codec ID
CodecID_Description;;;Y NT;;;Manual description given by the container
Codec;;;N NT;;;Deprecated, do not use in new projects
Codec/String;;;N NT;;;Deprecated, do not use in new projects
Codec/Family;;;N NT;;;Deprecated, do not use in new projects
Codec/Info;;;N NT;;;Deprecated, do not use in new projects
Codec/Url;;;N NT;;;Deprecated, do not use in new projects
Codec/CC;;;N NT;;;Deprecated, do not use in new projects
Codec_Description;;;N NT;;;Deprecated, do not use in new projects
Codec_Profile;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Automatic;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Floor;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Firm;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Endianness;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Sign;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Law;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_ITU;;;N NT;;;Deprecated, do not use in new projects
Duration;; ms;N YI;;;Play time of the stream
Duration/String;;;Y NT;;;Play time in format : XXx YYy only, YYy omited if zero
Duration/String1;;;N NT;;;Play time in format : HHh MMmn SSs MMMms, XX omited if zero
Duration/String2;;;N NT;;;Play time in format : XXx YYy only, YYy omited if zero
Duration/String3;;;N NT;;;Play time in format : HH:MM:SS.MMM
BitRate_Mode;;;N YT;;;Bit rate mode (VBR, CBR)
BitRate_Mode/String;;;Y NT;;;Bit rate mode (Constant, Variable)
BitRate;; bps;N YF;;;Bit rate in bps
BitRate/String;;;Y NT;;;Bit rate (with measurement)
BitRate_Minimum;; bps;N YF;;;Minimum Bit rate in bps
BitRate_Minimum/String;;;Y NT;;;Minimum Bit rate (with measurement)
BitRate_Nominal;; bps;N YF;;;Nominal Bit rate in bps
BitRate_Nominal/String;;;Y NT;;;Nominal Bit rate (with measurement)
BitRate_Maximum;; bps;N YF;;;Maximum Bit rate in bps
BitRate_Maximum/String;;;Y NT;;;Maximum Bit rate (with measurement)
Channel(s);; channel;N YF;;;Number of channels
Channel(s)/String;;;Y NT;;;Number of channels (with measurement)
ChannelPositions;;;Y YT;;;Position of channels
ChannelPositions/String2;;;N NT;;;Position of channels (x/y.z format)
SamplingRate;; Hz;N YF;;;Sampling rate
SamplingRate/String;;;Y NT;;;in KHz
SamplingCount;;;N NI;;;Frame count
Resolution;; bit;N YI;;;Resolution in bits (8, 16, 20, 24)
Resolution/String;;;Y NI;;; n bits
CompressionRatio;;;Y YF;;;Current stream size divided by uncompressed stream size
Delay;; ms;N YI;;;Delay fixed in the stream (relative)
Delay/String;;;N NT;;;Delay in format : XXx YYy only, YYy omited if zero
Delay/String1;;;N NT;;;Delay in format : HHh MMmn SSs MMMms, XX omited if zero
Delay/String2;;;N NT;;;Delay in format : XXx YYy only, YYy omited if zero
Delay/String3;;;N NT;;;Delay in format : HH:MM:SS.MMM
Delay_Original;; ms;N NI;;;Delay fixed in the raw stream (relative) IN MS
Delay_Original/String;;;N NT;;;Delay with measurement
Delay_Original/String1;;;N NT;;;Delay with measurement
Delay_Original/String2;;;N NT;;;Delay with measurement
Delay_Original/String3;;;N NT;;;format : HH:MM:SS.MMM
Delay_Original_Settings;;;N NT;;;Delay settings (in case of timecode for example)
Video_Delay;; ms;N NI;;;Delay fixed in the stream (absolute / video)
Video_Delay/String;;;Y NT;;;
Video_Delay/String1;;;N NT;;;
Video_Delay/String2;;;N NT;;;
Video_Delay/String3;;;N NT;;;
Video0_Delay;; ms;N NI;;;Deprecated, do not use in new projects
Video0_Delay/String;;;N NT;;;Deprecated, do not use in new projects
Video0_Delay/String1;;;N NT;;;Deprecated, do not use in new projects
Video0_Delay/String2;;;N NT;;;Deprecated, do not use in new projects
Video0_Delay/String3;;;N NT;;;Deprecated, do not use in new projects
