Count;;;N NI;;;Number of objects available in this stream
StreamCount;;;N NI;;;Number of streams of this kind available
StreamKind;General;;N NI;;;Stream type name
StreamKind/String;;;N NI;;;Stream type name
StreamKindID;;;N NI;;;Number of the stream (base=0)
StreamKindPos;;;N NI;;;When multiple streams, number of the stream (base=1)
Inform;;;N NT;;;Last **Inform** call
ID;;;N YI;;;The ID for this stream in this file
ID/String;;;Y NT;;;The ID for this stream in this file
UniqueID;;;N YI;;;The unique ID for this stream, should be copied with stream copy
MenuID;;;N YI;;;The menu ID for this stream in this file
MenuID/String;;;Y NT;;;The menu ID for this stream in this file
GeneralCount;1;;N NI;;;Number of general streams
VideoCount;;;N NI;;;Number of video streams
AudioCount;;;N NI;;;Number of audio streams
TextCount;;;N NI;;;Number of text streams
ChaptersCount;;;N NI;;;Number of chapters streams
ImageCount;;;N NI;;;Number of image streams
MenuCount;;;N NI;;;Number of menu streams
Video_Format_List;;;N NT;;;Video Codecs in this file, separated by /
Video_Format_WithHint_List;;;N NT;;;Video Codecs in this file with popular name (hint), separated by /
Video_Codec_List;;;N NT;;;Deprecated, do not use in new projects
Video_Language_List;;;N NT;;;Video languagesin this file, full names, separated by /
Audio_Format_List;;;N NT;;;Audio Codecs in this file,separated by /
Audio_Format_WithHint_List;;;N NT;;;Audio Codecs in this file with popular name (hint), separated by /
Audio_Codec_List;;;N NT;;;Deprecated, do not use in new projects
Audio_Language_List;;;N NT;;;Audio languages in this file separated by /
Text_Format_List;;;N NT;;;Text Codecs in this file, separated by /
Text_Format_WithHint_List;;;N NT;;;Text Codecs in this file with popular name (hint),separated by /
Text_Codec_List;;;N NT;;;Deprecated, do not use in new projects
Text_Language_List;;;N NT;;;Text languages in this file, separated by /
Chapters_Format_List;;;N NT;;;Chapters Codecs in this file, separated by /
Chapters_Format_WithHint_List;;;N NT;;;Chapters Codecs in this file with popular name (hint), separated by /
Chapters_Codec_List;;;N NT;;;Deprecated, do not use in new projects
Chapters_Language_List;;;N NT;;;Chapters languages in this file, separated by /
Image_Format_List;;;N NT;;;Image Codecs in this file, separated by /
Image_Format_WithHint_List;;;N NT;;;Image Codecs in this file with popular name (hint), separated by /
Image_Codec_List;;;N NT;;;Deprecated, do not use in new projects
Image_Language_List;;;N NT;;;Image languages in this file, separated by /
Menu_Format_List;;;N NT;;;Menu Codecsin this file, separated by /
Menu_Format_WithHint_List;;;N NT;;;Menu Codecs in this file with popular name (hint),separated by /
Menu_Codec_List;;;N NT;;;Deprecated, do not use in new projects
Menu_Language_List;;;N NT;;;Menu languages in this file, separated by /
CompleteName;;;Y NT;;;Complete name (Folder+Name+Extension)
FolderName;;;N NT;;;Folder name only
FileName;;;N NT;;;File name only
FileExtension;;;N NT;;;File extension only
Format;;;Y YT;;;Format used
Format/String;;;N NT;;;Deprecated, do not use in new projects
Format/Info;;;Y NT;;;Info about this Format
Format/Url;;;N NT;;;Link to a description of this format
Format/Extensions;;;N NT;;;Known extensions of this format
Format_Version;;;Y NT;;;Version of this format
Format_Profile;;;Y NT;;;Profile of the Format
Format_Settings;;;Y NT;;;Settings needed for decoder used
CodecID;;;Y YT;;;Codec ID (found in some containers)
CodecID/Info;;;Y NT;;;Info about this codec
CodecID/Hint;;;Y NT;;;A hint/popular name for this codec
CodecID/Url;;;N NT;;;A link to more details about this codec ID
CodecID_Description;;;Y NT;;;Manual description given by the container
Interleaved;;;N NT;;;If Audio and video are muxed
Codec;;;N NT;;;Deprecated, do not use in new projects
Codec/String;;;N NT;;;Deprecated, do not use in new projects
Codec/Info;;;N NT;;;Deprecated, do not use in new projects
Codec/Url;;;N NT;;;Deprecated, do not use in new projects
Codec/Extensions;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings;;;N NT;;;Deprecated, do not use in new projects
Codec_Settings_Automatic;;;N NT;;;Deprecated, do not use in new projects
FileSize;; byte;N NT;;;File size in bytes
FileSize/String;;;Y NT;;;File size (with measure)
FileSize/String1;;;N NT;;;File size (with measure, 1 digit mini)
FileSize/String2;;;N NT;;;File size (with measure, 2 digit mini)
FileSize/String3;;;N NT;;;File size (with measure, 3 digit mini)
FileSize/String4;;;N NT;;;File size (with measure, 4 digit mini)
Duration;; ms;N YI;;;Play time of the stream in ms
Duration/String;;;Y NT;;;Play time in format : XXx YYy only, YYy omited if zero
Duration/String1;;;N NT;;;Play time in format : HHh MMmn SSs MMMms, XX omited if zero
Duration/String2;;;N NT;;;Play time in format : XXx YYy only, YYy omited if zero
Duration/String3;;;N NT;;;Play time in format : HH:MM:SS.MMM
Duration_Start;;;Y YT;;;
Duration_End;;;Y YT;;;
OverallBitRate_Mode;;;N YT;;;Bit rate mode of all streams (VBR, CBR)
OverallBitRate_Mode/String;;;Y NT;;;Bit rate mode of all streams (Variable, Constant)
OverallBitRate;; bps;N YF;;;Bit rate of all streams in bps
OverallBitRate/String;;;Y NT;;;Bit rate of all streams (with measure)
OverallBitRate_Minimum;; bps;N YF;;;Minimum Bit rate in bps
OverallBitRate_Minimum/String;;;Y NT;;;Minimum Bit rate (with measurement)
OverallBitRate_Nominal;; bps;N YF;;;Nominal Bit rate in bps
OverallBitRate_Nominal/String;;;Y NT;;;Nominal Bit rate (with measurement)
OverallBitRate_Maximum;; bps;N YF;;;Maximum Bit rate in bps
OverallBitRate_Maximum/String;;;Y NT;;;Maximum Bit rate (with measurement)
StreamSize;; byte;N YI;;;Stream size in bytes
StreamSize/String;;;N NT;;;
StreamSize/String1;;;N NT;;;
StreamSize/String2;;;N NT;;;
StreamSize/String3;;;N NT;;;
